"Snapshot Date Time"	"Traffic-Pedestrians (% of Total)"	"Traffic-Private vehicles (% of Total)"	"Traffic-Public transport & Cargo (% of Total)"	"Game Limits-Vehicles-Used (% of Capacity)"	"Game Limits-Vehicles Parked-Used (% of Capacity)"
9/20/2030 12:00 PM	92.09	4.94	1.43	2.25	23.64
9/21/2030 12:00 PM	86.66	4.70	4.61	1.62	23.11
9/22/2030 12:00 PM	87.65	4.46	4.46	1.94	22.97
9/23/2030 12:00 PM	92.89	5.62	0.87	5.07	22.53
9/24/2030 12:00 PM	93.21	5.76	0.54	5.73	22.33
9/25/2030 12:00 PM	93.96	5.02	0.52	5.13	22.58
9/26/2030 12:00 PM	74.72	24.25	0.59	21.02	22.18
9/27/2030 12:00 PM	87.09	11.70	0.46	9.56	23.98
9/28/2030 12:00 PM	82.64	13.82	1.07	10.19	27.90
9/29/2030 12:00 PM	94.67	3.10	1.16	3.06	28.15
9/30/2030 12:00 PM	69.13	27.51	0.31	25.31	6.91
10/1/2030 12:00 PM	81.68	15.58	0.50	15.34	20.70
10/2/2030 12:00 PM	91.27	5.23	0.46	7.76	23.95
